,match_id,country,run,ball,4s,6s,srike_rate
Aaron Johnson,CAN_USA_2_June,CAN,23,16,5,0,143.75
Navneet Dhaliwal,CAN_USA_2_June,CAN,61,44,6,3,138.64
Pargat Singh,CAN_USA_2_June,CAN,5,7,0,0,71.43
Nicholas Kirton,CAN_USA_2_June,CAN,51,31,3,2,164.52
Shreyas Movva (wk),CAN_USA_2_June,CAN,32,16,2,2,200
Dilpreet Singh,CAN_USA_2_June,CAN,11,5,1,1,220
Dillon Heyliger,CAN_USA_2_June,CAN,1,1,0,0,100
Steven Taylor,CAN_USA_2_June,USA,0,2,0,0,0
Monank Patel (c & wk),CAN_USA_2_June,USA,16,16,2,0,100
Andries Gous,CAN_USA_2_June,USA,65,46,7,3,141.3
Aaron Jones,CAN_USA_2_June,USA,94,40,4,10,235
Corey Anderson,CAN_USA_2_June,USA,3,5,0,0,60
Tony Ura,PNG_WI_2_June,PNG,2,5,0,0,40
Assad Vala (c),PNG_WI_2_June,PNG,21,22,2,1,95.45
Lega Siaka,PNG_WI_2_June,PNG,1,2,0,0,50
Sese Bau,PNG_WI_2_June,PNG,50,43,6,1,116.28
Hiri Hiri,PNG_WI_2_June,PNG,2,6,0,0,33.33
Charles Amini,PNG_WI_2_June,PNG,12,14,0,0,85.71
Kiplin Doriga (wk),PNG_WI_2_June,PNG,27,18,3,0,150
Chad Soper,PNG_WI_2_June,PNG,10,9,1,0,111.11
Alei Nao,PNG_WI_2_June,PNG,0,0,0,0,0
Kabua Morea,PNG_WI_2_June,PNG,2,2,0,0,100
Brandon King,PNG_WI_2_June,WI,34,29,7,0,117.24
Johnson Charles,PNG_WI_2_June,WI,0,1,0,0,0
Nicholas Pooran (wk),PNG_WI_2_June,WI,27,27,1,2,100
Roston Chase,PNG_WI_2_June,WI,42,27,4,2,155.56
Rovman Powell (c),PNG_WI_2_June,WI,15,14,2,0,107.14
Sherfane Rutherford,PNG_WI_2_June,WI,2,7,0,0,28.57
Andre Russell,PNG_WI_2_June,WI,15,9,0,1,166.67
Kashyap,OMAN_NAM_3_June,OMAN,0,1,0,0,0
Naseem Khushi (wk),OMAN_NAM_3_June,OMAN,6,6,1,0,100
Aqib Ilyas (c),OMAN_NAM_3_June,OMAN,0,1,0,0,0
Zeeshan Maqsood,OMAN_NAM_3_June,OMAN,22,20,4,0,110
Khalid Kail,OMAN_NAM_3_June,OMAN,34,39,1,1,87.18
Ayaan Khan,OMAN_NAM_3_June,OMAN,15,21,0,1,71.43
Mohammad Nadeem,OMAN_NAM_3_June,OMAN,6,10,0,0,60
Mehran Khan,OMAN_NAM_3_June,OMAN,7,8,1,0,87.5
Shakeel Ahmed,OMAN_NAM_3_June,OMAN,11,9,2,0,122.22
Kaleemullah,OMAN_NAM_3_June,OMAN,2,3,0,0,66.67
Bilal Khan,OMAN_NAM_3_June,OMAN,1,1,0,0,100
Michael van Lingen,OMAN_NAM_3_June,NAM,0,2,0,0,0
Nikolaas Davin,OMAN_NAM_3_June,NAM,24,31,2,1,77.42
Jan Frylinck,OMAN_NAM_3_June,NAM,45,48,6,0,93.75
Gerhard Erasmus (c),OMAN_NAM_3_June,NAM,13,16,1,0,81.25
JJ Smit,OMAN_NAM_3_June,NAM,8,12,1,0,66.67
David Wiese,OMAN_NAM_3_June,NAM,9,8,0,1,112.5
Zane Green (wk),OMAN_NAM_3_June,NAM,0,2,0,0,0
Malan Kruger,OMAN_NAM_3_June,NAM,1,1,0,0,100
Pathum Nissanka,SL_RSA_3_June,SL,3,8,0,0,37.5
