,match_id,country,over,maiden,given run,wicket,no_ball,wide_ball,economy_rate
Ali Khan,CAN_USA_2_June,USA,4,0,41,1,0,2,10.2
Netravalkar,CAN_USA_2_June,USA,2,0,16,0,0,0,8
Harmeet Singh,CAN_USA_2_June,USA,4,0,27,1,0,0,6.8
Jessy Singh,CAN_USA_2_June,USA,3,0,24,0,0,0,8
van Schalkwyk,CAN_USA_2_June,USA,3,0,34,0,0,0,11.3
Steven Taylor,CAN_USA_2_June,USA,1,0,15,0,0,0,15
CJ Anderson,CAN_USA_2_June,USA,3,0,29,1,0,0,9.7
Kaleem Sana,CAN_USA_2_June,CAN,4,0,34,1,0,6,8.5
Jeremy Gordon,CAN_USA_2_June,CAN,3,0,44,0,2,3,14.7
Dillon Heyliger,CAN_USA_2_June,CAN,3,0,19,1,0,3,6.3
Saad Bin Zafar (c),CAN_USA_2_June,CAN,4,0,42,0,0,0,10.5
Nikhil Dutta,CAN_USA_2_June,CAN,2.4,0,41,1,1,2,15.4
Pargat Singh,CAN_USA_2_June,CAN,1,0,15,0,0,0,15
Akeal Hosein,PNG_WI_2_June,WI,3,0,9,1,0,0,3
Romario Shepherd,PNG_WI_2_June,WI,3,0,23,1,0,1,7.7
Russell,PNG_WI_2_June,WI,3,0,19,2,0,1,6.3
Roston Chase,PNG_WI_2_June,WI,4,0,26,0,0,4,6.5
Alzarri Joseph,PNG_WI_2_June,WI,4,0,34,2,1,1,8.5
Motie,PNG_WI_2_June,WI,3,0,24,1,0,0,8
Kabua Morea,PNG_WI_2_June,PNG,3,0,30,0,0,0,10
Alei Nao,PNG_WI_2_June,PNG,2,1,9,1,0,0,4.5
Chad Soper,PNG_WI_2_June,PNG,3,0,19,1,0,0,6.3
Sese Bau,PNG_WI_2_June,PNG,1,0,18,0,0,0,18
John Kariko,PNG_WI_2_June,PNG,4,0,17,1,0,0,4.2
Assad Vala (c),PNG_WI_2_June,PNG,4,1,28,2,0,0,7
Charles Amini,PNG_WI_2_June,PNG,2,0,14,0,0,0,7
Trumpelmann,OMAN_NAM_3_June,NAM,4,0,21,4,1,0,5.2
Wiese,OMAN_NAM_3_June,NAM,3.4,0,28,3,0,0,7.6
Tangeni Lungameni,OMAN_NAM_3_June,NAM,4,0,18,0,0,1,4.5
Bernard Scholtz,OMAN_NAM_3_June,NAM,4,0,20,1,0,1,5
Gerhard Erasmus (c),OMAN_NAM_3_June,NAM,4,0,20,2,0,0,5
Bilal Khan,OMAN_NAM_3_June,OMAN,4,0,25,1,0,1,6.2
Shakeel Ahmed,OMAN_NAM_3_June,OMAN,3,0,20,0,0,0,6.7
Kaleemullah,OMAN_NAM_3_June,OMAN,2,0,10,0,0,0,5
Aqib Ilyas (c),OMAN_NAM_3_June,OMAN,4,1,17,1,0,0,4.2
Mehran Khan,OMAN_NAM_3_June,OMAN,3,1,7,3,0,0,2.3
Zeeshan Maqsood,OMAN_NAM_3_June,OMAN,2,0,12,0,0,0,6
Ayaan Khan,OMAN_NAM_3_June,OMAN,2,0,12,1,0,2,6
Marco Jansen,SL_RSA_3_June,RSA,3.1,0,15,0,0,1,4.7
Rabada,SL_RSA_3_June,RSA,4,1,21,2,0,1,5.2
Ottneil Baartman,SL_RSA_3_June,RSA,4,1,9,1,0,1,2.2
Maharaj,SL_RSA_3_June,RSA,4,0,22,2,0,0,5.5
Nortje,SL_RSA_3_June,RSA,4,0,7,4,0,0,1.8
Angelo Mathews,SL_RSA_3_June,SL,3,0,16,0,0,1,5.3
Nuwan Thushara,SL_RSA_3_June,SL,3,0,18,1,1,0,6
Dasun Shanaka,SL_RSA_3_June,SL,3,1,6,1,0,0,2
Matheesha Pathirana,SL_RSA_3_June,SL,3,0,12,0,0,1,4
Wanindu Hasaranga (c),SL_RSA_3_June,SL,3.2,0,22,2,0,0,6.6
Maheesh Theekshana,SL_RSA_3_June,SL,1,0,3,0,0,0,3
Alpesh Ramjani,UGA_AFG_4_June,UGA,4,0,33,1,0,0,8.2
Cosmas Kyewuta,UGA_AFG_4_June,UGA,4,0,25,2,0,0,6.2
Dinesh Nakrani,UGA_AFG_4_June,UGA,3,0,37,0,0,0,12.3
Bilal Hassan,UGA_AFG_4_June,UGA,2,0,34,0,1,5,17
Ssenyondo,UGA_AFG_4_June,UGA,2,0,19,0,0,1,9.5
Riazat Ali Shah,UGA_AFG_4_June,UGA,1,0,11,0,0,0,11
Masaba (c),UGA_AFG_4_June,UGA,4,0,21,2,0,0,5.2
Fazalhaq Farooqi,UGA_AFG_4_June,AFG,4,0,9,5,0,0,2.2
Mujeeb Ur Rahman,UGA_AFG_4_June,AFG,3,0,16,1,0,5,5.3
Naveen-ul-Haq,UGA_AFG_4_June,AFG,2,0,4,2,0,1,2
Azmatullah Omarzai,UGA_AFG_4_June,AFG,2,0,7,0,0,1,3.5
Rashid Khan (c),UGA_AFG_4_June,AFG,4,0,12,2,0,0,3
Mohammad Nabi,UGA_AFG_4_June,AFG,1,0,8,0,0,0,8
Kingma,NEP_NED_4_June,NED,4,0,23,0,0,2,5.8
Tim Pringle,NEP_NED_4_June,NED,4,0,20,3,0,0,5
van Beek,NEP_NED_4_June,NED,3.2,0,18,3,0,0,5.4
van Meekeren,NEP_NED_4_June,NED,4,0,19,2,0,1,4.8
Bas de Leede,NEP_NED_4_June,NED,4,1,22,2,0,1,5.5
Karan KC,NEP_NED_4_June,NEP,3,0,17,0,0,0,5.7
Sompal Kami,NEP_NED_4_June,NEP,4,0,18,1,0,0,4.5
Gulsan Jha,NEP_NED_4_June,NEP,2,0,17,0,1,0,8.5
Dipendra Singh Airee,NEP_NED_4_June,NEP,2,0,6,1,0,0,3
Abinash Bohara,NEP_NED_4_June,NEP,3.4,0,29,1,0,0,7.9
Sagar Dhakal,NEP_NED_4_June,NEP,4,0,21,0,0,0,5.2
Arshdeep Singh,IRE_IND_5_June,IND,4,0,35,2,1,9,8.8
Siraj,IRE_IND_5_June,IND,3,0,13,1,0,0,4.3
Bumrah,IRE_IND_5_June,IND,3,1,6,2,0,0,2
Hardik Pandya,IRE_IND_5_June,IND,4,1,27,3,0,0,6.8
Axar,IRE_IND_5_June,IND,1,0,3,1,0,0,3
Ravindra Jadeja,IRE_IND_5_June,IND,1,0,7,0,0,0,7
Mark Adair,IRE_IND_5_June,IRE,4,0,27,1,0,3,6.8
Joshua Little,IRE_IND_5_June,IRE,4,0,42,0,0,3,10.5
Barry McCarthy,IRE_IND_5_June,IRE,2.2,0,18,0,0,0,7.7
Curtis Campher,IRE_IND_5_June,IRE,1,0,4,0,0,0,4
Benjamin White,IRE_IND_5_June,IRE,1,0,6,1,0,0,6
Alpesh Ramjani,PNG_UGA_6_June,UGA,4,1,17,2,0,0,4.2
Cosmas Kyewuta,PNG_UGA_6_June,UGA,3.1,0,17,2,0,0,5.4
Juma Miyagi,PNG_UGA_6_June,UGA,4,0,10,2,1,0,2.5
Masaba (c),PNG_UGA_6_June,UGA,4,0,17,1,0,0,4.2
Nsubuga,PNG_UGA_6_June,UGA,4,2,4,2,0,0,1
Alei Nao,PNG_UGA_6_June,PNG,4,0,16,2,0,7,4
Norman Vanua,PNG_UGA_6_June,PNG,4,0,19,2,0,7,4.8
Chad Soper,PNG_UGA_6_June,PNG,4,0,13,1,0,1,3.2
Assad Vala (c),PNG_UGA_6_June,PNG,2,0,10,1,0,0,5
John Kariko,PNG_UGA_6_June,PNG,4,0,18,0,0,0,4.5
Charles Amini,PNG_UGA_6_June,PNG,0.2,0,2,0,0,0,6
Bilal Khan,OMAN_AUS_6_June,OMAN,4,0,36,1,1,1,9
Kaleemullah,OMAN_AUS_6_June,OMAN,3,0,30,1,0,0,10
Shakeel Ahmed,OMAN_AUS_6_June,OMAN,4,0,28,0,1,0,7
Mehran Khan,OMAN_AUS_6_June,OMAN,4,0,38,2,1,0,9.5
Aqib Ilyas (c),OMAN_AUS_6_June,OMAN,4,0,18,0,0,0,4.5
Zeeshan Maqsood,OMAN_AUS_6_June,OMAN,1,0,12,0,0,0,12
Mitchell Starc,OMAN_AUS_6_June,AUS,3,0,20,2,0,5,6.7
Josh Hazlewood,OMAN_AUS_6_June,AUS,4,0,21,0,0,0,5.2
Nathan Ellis,OMAN_AUS_6_June,AUS,4,0,28,2,0,1,7
Marcus Stoinis,OMAN_AUS_6_June,AUS,3,0,19,3,0,1,6.3
Glenn Maxwell,OMAN_AUS_6_June,AUS,2,0,11,0,0,1,5.5
Adam Zampa,OMAN_AUS_6_June,AUS,4,0,24,2,0,0,6
Nosthush Kenjige,PAK_USA_6_June,USA,4,0,30,3,0,0,7.5
Netravalkar,PAK_USA_6_June,USA,4,0,18,2,0,0,4.5
Ali Khan,PAK_USA_6_June,USA,4,0,30,1,0,2,7.5
Harmeet Singh,PAK_USA_6_June,USA,4,0,34,0,0,1,8.5
Jasdeep Singh,PAK_USA_6_June,USA,3,0,37,1,0,1,12.3
CJ Anderson,PAK_USA_6_June,USA,1,0,6,0,0,0,6
Shaheen Afridi,PAK_USA_6_June,PAK,4,0,33,0,0,2,8.2
Mohammad Amir,PAK_USA_6_June,PAK,4,0,25,1,0,3,6.2
Naseem Shah,PAK_USA_6_June,PAK,4,0,26,1,0,2,6.5
Haris Rauf,PAK_USA_6_June,PAK,4,0,37,1,0,3,9.2
Shadab Khan,PAK_USA_6_June,PAK,3,0,27,0,0,1,9
Iftikhar Ahmed,PAK_USA_6_June,PAK,1,0,10,0,0,0,10
Wheal,NAM_SCO_7_June,SCO,4,0,33,3,1,2,8.2
Bradley Currie,NAM_SCO_7_June,SCO,4,0,16,2,0,0,4
Christopher Sole,NAM_SCO_7_June,SCO,3,0,23,1,1,1,7.7
Mark Watt,NAM_SCO_7_June,SCO,4,0,39,0,0,0,9.8
Chris Greaves,NAM_SCO_7_June,SCO,3,0,24,1,0,0,8
Michael Leask,NAM_SCO_7_June,SCO,2,0,16,1,0,0,8
Ruben Trumpelmann,NAM_SCO_7_June,NAM,4,0,36,1,1,8,9
David Wiese,NAM_SCO_7_June,NAM,3.3,0,30,0,0,0,8.6
Tangeni Lungameni,NAM_SCO_7_June,NAM,3,0,39,1,0,1,13
Bernard Scholtz,NAM_SCO_7_June,NAM,4,0,20,1,0,0,5
Gerhard Erasmus (c),NAM_SCO_7_June,NAM,4,0,29,2,0,3,7.2
Mark Adair,IRE_CAN_7_June,IRE,4,0,23,1,0,1,5.8
Joshua Little,IRE_CAN_7_June,IRE,4,0,37,0,0,2,9.2
Craig Young,IRE_CAN_7_June,IRE,4,0,32,2,0,1,8
Barry McCarthy,IRE_CAN_7_June,IRE,4,0,24,2,0,0,6
Delany,IRE_CAN_7_June,IRE,2,0,10,1,0,0,5
Curtis Campher,IRE_CAN_7_June,IRE,2,0,11,0,0,1,5.5
Kaleem Sana,IRE_CAN_7_June,CAN,4,0,38,0,0,3,9.5
Jeremy Gordon,IRE_CAN_7_June,CAN,4,0,16,2,0,1,4
Junaid Siddiqui,IRE_CAN_7_June,CAN,4,0,27,1,0,0,6.8
Saad Bin Zafar (c),IRE_CAN_7_June,CAN,4,0,22,1,0,0,5.5
Dillon Heyliger,IRE_CAN_7_June,CAN,4,0,18,2,0,1,4.5
Boult,NZ_AFG_8_June,NZ,4,0,22,2,0,0,5.5
Matt Henry,NZ_AFG_8_June,NZ,4,0,37,2,0,0,9.2
Santner,NZ_AFG_8_June,NZ,4,0,24,0,0,0,6
M Bracewell,NZ_AFG_8_June,NZ,3,0,27,0,0,0,9
Lockie Ferguson,NZ_AFG_8_June,NZ,4,0,28,1,0,0,7
Daryl Mitchell,NZ_AFG_8_June,NZ,1,0,16,0,0,0,16
Fazalhaq Farooqi,NZ_AFG_8_June,AFG,3.2,0,17,4,0,3,5.1
Mohammad Nabi,NZ_AFG_8_June,AFG,4,0,16,2,0,0,4
Naveen-ul-Haq,NZ_AFG_8_June,AFG,3,0,10,0,0,0,3.3
Rashid Khan (c),NZ_AFG_8_June,AFG,4,0,17,4,0,2,4.2
Noor Ahmad,NZ_AFG_8_June,AFG,1,0,10,0,0,0,10
Tanzim Hasan Sakib,SL_BAN_8_June,BAN,4,0,24,1,0,0,6
Shakib,SL_BAN_8_June,BAN,3,0,30,0,0,0,10
Taskin Ahmed,SL_BAN_8_June,BAN,4,0,25,2,0,1,6.2
Mustafizur,SL_BAN_8_June,BAN,4,0,17,3,0,1,4.2
Rishad Hossain,SL_BAN_8_June,BAN,4,0,22,3,0,0,5.5
Mahmudullah,SL_BAN_8_June,BAN,1,0,4,0,0,0,4
Dhananjaya de Silva,SL_BAN_8_June,SL,2,0,11,1,0,1,5.5
Nuwan Thushara,SL_BAN_8_June,SL,4,0,18,4,0,5,4.5
Maheesh Theekshana,SL_BAN_8_June,SL,4,0,25,0,0,3,6.2
Wanindu Hasaranga (c),SL_BAN_8_June,SL,4,0,32,2,0,0,8
Matheesha Pathirana,SL_BAN_8_June,SL,4,0,27,1,0,2,6.8
Dasun Shanaka,SL_BAN_8_June,SL,1,0,11,0,0,1,11
Marco Jansen,NED_RSA_8_June,RSA,4,0,20,2,1,1,5
Rabada,NED_RSA_8_June,RSA,4,0,27,0,0,1,6.8
Ottneil Baartman,NED_RSA_8_June,RSA,4,0,11,4,0,1,2.8
Nortje,NED_RSA_8_June,RSA,4,0,19,2,1,1,4.8
Maharaj,NED_RSA_8_June,RSA,4,0,24,0,0,1,6
Vivian Kingma,NED_RSA_8_June,NED,4,1,12,2,0,1,3
Logan van Beek,NED_RSA_8_June,NED,4,1,21,2,0,0,5.2
Paul van Meekeren,NED_RSA_8_June,NED,4,1,13,0,0,1,3.2
Bas de Leede,NED_RSA_8_June,NED,3.5,0,34,1,1,0,8.9
Tim Pringle,NED_RSA_8_June,NED,2,0,14,0,0,0,7
Vikramjit Singh,NED_RSA_8_June,NED,1,0,11,0,0,0,11
Moeen,ENG_AUS_8_June,ENG,2,0,18,1,0,0,9
Will Jacks,ENG_AUS_8_June,ENG,1,0,22,0,0,0,22
Jofra Archer,ENG_AUS_8_June,ENG,4,0,28,1,0,1,7
Mark Wood,ENG_AUS_8_June,ENG,3,0,32,0,0,0,10.7
Adil Rashid,ENG_AUS_8_June,ENG,4,0,41,1,0,1,10.2
Chris Jordan,ENG_AUS_8_June,ENG,4,0,44,2,0,4,11
Livingstone,ENG_AUS_8_June,ENG,2,0,15,1,0,0,7.5
Mitchell Starc,ENG_AUS_8_June,AUS,3,0,37,0,0,2,12.3
Josh Hazlewood,ENG_AUS_8_June,AUS,4,0,28,1,0,0,7
Pat Cummins,ENG_AUS_8_June,AUS,4,0,23,2,0,1,5.8
Marcus Stoinis,ENG_AUS_8_June,AUS,3,0,24,1,0,2,8
Adam Zampa,ENG_AUS_8_June,AUS,4,0,28,2,0,0,7
Glenn Maxwell,ENG_AUS_8_June,AUS,2,0,22,0,0,0,11
Alpesh Ramjani,UGA_WI_9_June,UGA,3,0,16,1,0,0,5.3
Cosmas Kyewuta,UGA_WI_9_June,UGA,4,0,42,1,1,3,10.5
Juma Miyagi,UGA_WI_9_June,UGA,3,0,29,0,1,0,9.7
Nsubuga,UGA_WI_9_June,UGA,3,0,29,0,1,0,9.7
Masaba (c),UGA_WI_9_June,UGA,4,0,31,2,0,2,7.8
Dinesh Nakrani,UGA_WI_9_June,UGA,3,0,20,1,0,0,6.7
Akeal Hosein,UGA_WI_9_June,WI,4,0,11,5,0,0,2.8
Romario Shepherd,UGA_WI_9_June,WI,2,0,9,1,0,0,4.5
Andre Russell,UGA_WI_9_June,WI,1,0,4,1,0,1,4
Alzarri Joseph,UGA_WI_9_June,WI,3,0,6,2,0,1,2
Gudakesh Motie,UGA_WI_9_June,WI,2,0,6,1,0,0,3
Shaheen Afridi,PAK_IND_9_June,PAK,4,0,29,1,0,1,7.2
Naseem Shah,PAK_IND_9_June,PAK,4,0,21,3,1,2,5.2
Amir,PAK_IND_9_June,PAK,4,0,23,2,0,0,5.8
Iftikhar Ahmed,PAK_IND_9_June,PAK,1,0,7,0,0,1,7
Imad Wasim,PAK_IND_9_June,PAK,3,0,17,0,0,1,5.7
Haris Rauf,PAK_IND_9_June,PAK,3,0,21,3,0,0,7
Arshdeep Singh,PAK_IND_9_June,IND,4,0,31,1,0,2,7.8
Mohammed Siraj,PAK_IND_9_June,IND,4,0,19,0,1,1,4.8
Jasprit Bumrah,PAK_IND_9_June,IND,4,0,14,3,0,0,3.5
Hardik Pandya,PAK_IND_9_June,IND,4,0,24,2,0,1,6
Ravindra Jadeja,PAK_IND_9_June,IND,2,0,10,0,0,0,5
Axar Patel,PAK_IND_9_June,IND,2,0,11,1,0,0,5.5
Mark Watt,OMAN_SCO_9_June,SCO,4,0,25,1,0,2,6.2
Wheal,OMAN_SCO_9_June,SCO,4,0,19,1,0,0,4.8
Christopher Sole,OMAN_SCO_9_June,SCO,4,0,41,1,0,0,10.2
Safyaan Sharif,OMAN_SCO_9_June,SCO,4,0,40,2,0,0,10
Michael Leask,OMAN_SCO_9_June,SCO,3,0,21,0,0,1,7
