,match_id,match_url,date,team_1_country,team_1_score,team_2_country,team_2_score,match_result
0,CAN_USA_2_June,https://m.cricbuzz.com/live-cricket-scores/87500/usa-vs-can-1st-match-group-a-icc-mens-t20-world-cup-2024,2024-06-02,CAN,194-5 (20),USA,197-3 (17.4),USA
1,PNG_WI_2_June,https://m.cricbuzz.com/live-cricket-scores/87507/wi-vs-png-2nd-match-group-c-icc-mens-t20-world-cup-2024,2024-06-02,PNG,136-8 (20),WI,137-5 (19),WI
2,OMAN_NAM_3_June,https://m.cricbuzz.com/live-cricket-scores/87514/nam-vs-oman-3rd-match-group-b-icc-mens-t20-world-cup-2024,2024-06-03,OMAN,109 (19.4),NAM,109-6 (20),NAM
3,SL_RSA_3_June,https://m.cricbuzz.com/live-cricket-scores/87521/sl-vs-rsa-4th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-03,SL,77 (19.1),RSA,80-4 (16.2),RSA
4,UGA_AFG_4_June,https://m.cricbuzz.com/live-cricket-scores/87528/afg-vs-uga-5th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-04,UGA,58 (16),AFG,183-5 (20),AFG
5,NEP_NED_4_June,https://m.cricbuzz.com/live-cricket-scores/87542/ned-vs-nep-7th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-04,NEP,106 (19.2),NED,109-4 (18.4),NED
6,IRE_IND_5_June,https://m.cricbuzz.com/live-cricket-scores/87549/ind-vs-ire-8th-match-group-a-icc-mens-t20-world-cup-2024,2024-06-05,IRE,96 (16),IND,97-2 (12.2),IND
7,PNG_UGA_6_June,https://m.cricbuzz.com/live-cricket-scores/87556/png-vs-uga-9th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-06,PNG,77 (19.1),UGA,78-7 (18.2),UGA
8,OMAN_AUS_6_June,https://m.cricbuzz.com/live-cricket-scores/87563/aus-vs-oman-10th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-06,OMAN,125-9 (20),AUS,164-5 (20),AUS
9,PAK_USA_6_June,https://m.cricbuzz.com/live-cricket-scores/87570/usa-vs-pak-11th-match-group-a-icc-mens-t20-world-cup-2024,2024-06-06,PAK,159-7 (20),USA,159-3 (20),USA
10,NAM_SCO_7_June,https://m.cricbuzz.com/live-cricket-scores/87577/nam-vs-sco-12th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-07,NAM,155-9 (20),SCO,157-5 (18.3),SCO
11,IRE_CAN_7_June,https://m.cricbuzz.com/live-cricket-scores/87584/can-vs-ire-13th-match-group-a-icc-mens-t20-world-cup-2024,2024-06-07,IRE,125-7 (20),CAN,137-7 (20),CAN
12,NZ_AFG_8_June,https://m.cricbuzz.com/live-cricket-scores/87591/nz-vs-afg-14th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-08,NZ,75 (15.2),AFG,159-6 (20),AFG
13,SL_BAN_8_June,https://m.cricbuzz.com/live-cricket-scores/87598/sl-vs-ban-15th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-08,SL,124-9 (20),BAN,125-8 (19),BAN
14,NED_RSA_8_June,https://m.cricbuzz.com/live-cricket-scores/87605/ned-vs-rsa-16th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-08,NED,103-9 (20),RSA,106-6 (18.5),RSA
15,ENG_AUS_8_June,https://m.cricbuzz.com/live-cricket-scores/87612/aus-vs-eng-17th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-08,ENG,165-6 (20),AUS,201-7 (20),AUS
16,UGA_WI_9_June,https://m.cricbuzz.com/live-cricket-scores/87619/wi-vs-uga-18th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-09,UGA,39 (12),WI,173-5 (20),WI
17,PAK_IND_9_June,https://m.cricbuzz.com/live-cricket-scores/87626/ind-vs-pak-19th-match-group-a-icc-mens-t20-world-cup-2024,2024-06-09,PAK,113-7 (20),IND,119 (19),IND
18,OMAN_SCO_9_June,https://m.cricbuzz.com/live-cricket-scores/87633/oman-vs-sco-20th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-09,OMAN,150-7 (20),SCO,153-3 (13.1),SCO
19,BAN_RSA_10_June,https://m.cricbuzz.com/live-cricket-scores/87640/rsa-vs-ban-21st-match-group-d-icc-mens-t20-world-cup-2024,2024-06-10,BAN,109-7 (20),RSA,113-6 (20),RSA
20,CAN_PAK_11_June,https://m.cricbuzz.com/live-cricket-scores/87647/pak-vs-can-22nd-match-group-a-icc-mens-t20-world-cup-2024,2024-06-11,CAN,106-7 (20),PAK,107-3 (17.3),PAK
21,NAM_AUS_12_June,https://m.cricbuzz.com/live-cricket-scores/87661/aus-vs-nam-24th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-12,NAM,72 (17),AUS,74-1 (5.4),AUS
22,USA_IND_12_June,https://m.cricbuzz.com/live-cricket-scores/87668/usa-vs-ind-25th-match-group-a-icc-mens-t20-world-cup-2024,2024-06-12,USA,110-8 (20),IND,111-3 (18.2),IND
23,NZ_WI_13_June,https://m.cricbuzz.com/live-cricket-scores/87675/wi-vs-nz-26th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-13,NZ,136-9 (20),WI,149-9 (20),WI
24,NED_BAN_13_June,https://m.cricbuzz.com/live-cricket-scores/87689/ban-vs-ned-27th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-13,NED,134-8 (20),BAN,159-5 (20),BAN
25,OMAN_ENG_14_June,https://m.cricbuzz.com/live-cricket-scores/87682/eng-vs-oman-28th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-14,OMAN,47 (13.2),ENG,50-2 (3.1),ENG
26,PNG_AFG_14_June,https://m.cricbuzz.com/live-cricket-scores/87696/afg-vs-png-29th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-14,PNG,95 (19.5),AFG,101-3 (15.1),AFG
27,NEP_RSA_15_June,https://m.cricbuzz.com/live-cricket-scores/87710/rsa-vs-nep-31st-match-group-d-icc-mens-t20-world-cup-2024,2024-06-15,NEP,114-7 (20),RSA,115-7 (20),RSA
28,UGA_NZ_15_June,https://m.cricbuzz.com/live-cricket-scores/87717/nz-vs-uga-32nd-match-group-c-icc-mens-t20-world-cup-2024,2024-06-15,UGA,40 (18.4),NZ,41-1 (5.2),NZ
29,NAM_ENG_15_June,https://m.cricbuzz.com/live-cricket-scores/87731/nam-vs-eng-34th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-15,NAM,84-3 (10),ENG,122-5 (10),ENG
30,SCO_AUS_16_June,https://m.cricbuzz.com/live-cricket-scores/87738/aus-vs-sco-35th-match-group-b-icc-mens-t20-world-cup-2024,2024-06-16,SCO,180-5 (20),AUS,186-5 (19.4),AUS
31,IRE_PAK_16_June,https://m.cricbuzz.com/live-cricket-scores/87745/pak-vs-ire-36th-match-group-a-icc-mens-t20-world-cup-2024,2024-06-16,IRE,106-9 (20),PAK,111-7 (18.5),PAK
32,NEP_BAN_17_June,https://m.cricbuzz.com/live-cricket-scores/87752/ban-vs-nep-37th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-17,NEP,85 (19.2),BAN,106 (19.3),BAN
33,NED_SL_17_June,https://m.cricbuzz.com/live-cricket-scores/87759/sl-vs-ned-38th-match-group-d-icc-mens-t20-world-cup-2024,2024-06-17,NED,118 (16.4),SL,201-6 (20),SL
34,PNG_NZ_17_June,https://m.cricbuzz.com/live-cricket-scores/87766/nz-vs-png-39th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-17,PNG,78 (19.4),NZ,79-3 (12.2),NZ
35,AFG_WI_18_June,https://m.cricbuzz.com/live-cricket-scores/87773/wi-vs-afg-40th-match-group-c-icc-mens-t20-world-cup-2024,2024-06-18,AFG,114 (16.2),WI,218-5 (20),WI
36,USA_RSA_19_June,https://m.cricbuzz.com/live-cricket-scores/87780/usa-vs-rsa-41st-match-super-8-group-2-icc-mens-t20-world-cup-2024,2024-06-19,USA,176-6 (20),RSA,194-4 (20),RSA
37,WI_ENG_20_June,https://m.cricbuzz.com/live-cricket-scores/87787/eng-vs-wi-42nd-match-super-8-group-2-icc-mens-t20-world-cup-2024,2024-06-20,WI,180-4 (20),ENG,181-2 (17.3),ENG
38,AFG_IND_20_June,https://m.cricbuzz.com/live-cricket-scores/87794/afg-vs-ind-43rd-match-super-8-group-1-icc-mens-t20-world-cup-2024,2024-06-20,AFG,134 (20),IND,181-8 (20),IND
39,BAN_AUS_21_June,https://m.cricbuzz.com/live-cricket-scores/87801/aus-vs-ban-44th-match-super-8-group-1-icc-mens-t20-world-cup-2024,2024-06-21,BAN,140-8 (20),AUS,100-2 (11.2),AUS
40,ENG_RSA_21_June,https://m.cricbuzz.com/live-cricket-scores/87808/eng-vs-rsa-45th-match-super-8-group-2-icc-mens-t20-world-cup-2024,2024-06-21,ENG,156-6 (20),RSA,163-6 (20),RSA
41,USA_WI_22_June,https://m.cricbuzz.com/live-cricket-scores/87815/usa-vs-wi-46th-match-super-8-group-2-icc-mens-t20-world-cup-2024,2024-06-22,USA,128 (19.5),WI,130-1 (10.5),WI
42,BAN_IND_22_June,https://m.cricbuzz.com/live-cricket-scores/87822/ind-vs-ban-47th-match-super-8-group-1-icc-mens-t20-world-cup-2024,2024-06-22,BAN,146-8 (20),IND,196-5 (20),IND
43,AUS_AFG_23_June,https://m.cricbuzz.com/live-cricket-scores/87829/afg-vs-aus-48th-match-super-8-group-1-icc-mens-t20-world-cup-2024,2024-06-23,AUS,127 (19.2),AFG,148-6 (20),AFG
44,USA_ENG_23_June,https://m.cricbuzz.com/live-cricket-scores/87836/usa-vs-eng-49th-match-super-8-group-2-icc-mens-t20-world-cup-2024,2024-06-23,USA,115 (18.5),ENG,117-0 (9.4),ENG
45,WI_RSA_24_June,https://m.cricbuzz.com/live-cricket-scores/87843/wi-vs-rsa-50th-match-super-8-group-2-icc-mens-t20-world-cup-2024,2024-06-24,WI,135-8 (20),RSA,124-7 (16.1),RSA
46,AUS_IND_24_June,https://m.cricbuzz.com/live-cricket-scores/87850/aus-vs-ind-51st-match-super-8-group-1-icc-mens-t20-world-cup-2024,2024-06-24,AUS,181-7 (20),IND,205-5 (20),IND
47,BAN_AFG_25_June,https://m.cricbuzz.com/live-cricket-scores/87857/afg-vs-ban-52nd-match-super-8-group-1-icc-mens-t20-world-cup-2024,2024-06-25,BAN,105 (17.5),AFG,115-5 (20),AFG
48,AFG_RSA_27_June,https://m.cricbuzz.com/live-cricket-scores/87864/rsa-vs-afg-semi-final-1-icc-mens-t20-world-cup-2024,2024-06-27,AFG,56 (11.5),RSA,60-1 (8.5),RSA
49,ENG_IND_27_June,https://m.cricbuzz.com/live-cricket-scores/87871/ind-vs-eng-semi-final-2-icc-mens-t20-world-cup-2024,2024-06-27,ENG,103 (16.4),IND,171-7 (20),IND
50,RSA_IND_29_June,https://m.cricbuzz.com/live-cricket-scores/87878/rsa-vs-ind-final-icc-mens-t20-world-cup-2024,2024-06-29,RSA,169-8 (20),IND,176-7 (20),IND
